Code	Barrio	Foreign born	Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
0600000US7201558408	Palmas barrio, Arroyo Municipio, Puerto Rico	0.8	40.5
0600000US7201562192	Pitahaya barrio, Arroyo Municipio, Puerto Rico	2.2	47.1
0600000US7201588164	Yaurel barrio, Arroyo Municipio, Puerto Rico	0.4	79.2
0600000US7201700000	Municipio subdivision not defined, Barceloneta Municipio, Puerto Rico	1.7	-
0600000US7201705389	Barceloneta barrio-pueblo, Barceloneta Municipio, Puerto Rico	-	61.3
0600000US7201729039	Florida Afuera barrio, Barceloneta Municipio, Puerto Rico	0	42.3
0600000US7201730415	Garrochales barrio, Barceloneta Municipio, Puerto Rico	0.2	50.6
0600000US7201758580	Palmas Altas barrio, Barceloneta Municipio, Puerto Rico	0	51.8
0600000US7201905604	Barrancas barrio, Barranquitas Municipio, Puerto Rico	0	58.3
0600000US7201905733	Barranquitas barrio-pueblo, Barranquitas Municipio, Puerto Rico	0	71.2
0600000US7201912097	Cañabón barrio, Barranquitas Municipio, Puerto Rico	0.4	60.7
0600000US7201934500	Helechal barrio, Barranquitas Municipio, Puerto Rico	0	54
0600000US7201934887	Honduras barrio, Barranquitas Municipio, Puerto Rico	0	60.7
0600000US7201958795	Palo Hincado barrio, Barranquitas Municipio, Puerto Rico	0	40.5
0600000US7201967309	Quebrada Grande barrio, Barranquitas Municipio, Puerto Rico	0	57.4
0600000US7201967997	Quebradillas barrio, Barranquitas Municipio, Puerto Rico	0	51.6
0600000US7202106636	Bayamón barrio-pueblo, Bayamón Municipio, Puerto Rico	0.4	71.8
0600000US7202109130	Buena Vista barrio, Bayamón Municipio, Puerto Rico	10	32.7
0600000US7202117171	Cerro Gordo barrio, Bayamón Municipio, Puerto Rico	1.1	28.2
0600000US7202123191	Dajaos barrio, Bayamón Municipio, Puerto Rico	3.8	49.9
0600000US7202131619	Guaraguao Abajo barrio, Bayamón Municipio, Puerto Rico	0	33.7
0600000US7202131662	Guaraguao Arriba barrio, Bayamón Municipio, Puerto Rico	2.7	49.3
0600000US7202134156	Hato Tejas barrio, Bayamón Municipio, Puerto Rico	0.6	25.1
0600000US7202139402	Juan Sánchez barrio, Bayamón Municipio, Puerto Rico	3.4	24.1
0600000US7202153162	Minillas barrio, Bayamón Municipio, Puerto Rico	6.5	31.5
0600000US7202156774	Nuevo barrio, Bayamón Municipio, Puerto Rico	5.3	37.8
0600000US7202157763	Pájaros barrio, Bayamón Municipio, Puerto Rico	1.4	34.7
0600000US7202178790	Santa Olaya barrio, Bayamón Municipio, Puerto Rico	2.4	36.2
0600000US7202300000	Municipio subdivision not defined, Cabo Rojo Municipio, Puerto Rico	0	-
0600000US7202304787	Bajura barrio, Cabo Rojo Municipio, Puerto Rico	-	31.1
0600000US7202308012	Boquerón barrio, Cabo Rojo Municipio, Puerto Rico	1.7	37.8
0600000US7202309818	Cabo Rojo barrio-pueblo, Cabo Rojo Municipio, Puerto Rico	0	72.9
0600000US7202331017	Guanajibo barrio, Cabo Rojo Municipio, Puerto Rico	0	50
0600000US7202346067	Llanos Costa barrio, Cabo Rojo Municipio, Puerto Rico	0.8	48.7
0600000US7202346153	Llanos Tuna barrio, Cabo Rojo Municipio, Puerto Rico	0	59.1
0600000US7202353377	Miradero barrio, Cabo Rojo Municipio, Puerto Rico	1.1	40.5
0600000US7202354409	Monte Grande barrio, Cabo Rojo Municipio, Puerto Rico	0.5	50.5
0600000US7202360601	Pedernales barrio, Cabo Rojo Municipio, Puerto Rico	1.5	48.5
0600000US7202504615	Bairoa barrio, Caguas Municipio, Puerto Rico	1.4	27
0600000US7202507152	Beatriz barrio, Caguas Municipio, Puerto Rico	3.3	38.5
0600000US7202508356	Borinquen barrio, Caguas Municipio, Puerto Rico	0.6	40.7
0600000US7202510377	Caguas barrio-pueblo, Caguas Municipio, Puerto Rico	1.7	43.9
0600000US7202512140	Cañabón barrio, Caguas Municipio, Puerto Rico	3.3	15.6
0600000US7202512226	Cañaboncito barrio, Caguas Municipio, Puerto Rico	2.5	33.3
0600000US7202570577	Río Cañas barrio, Caguas Municipio, Puerto Rico	1	34.7
0600000US7202575651	San Antonio barrio, Caguas Municipio, Puerto Rico	2.4	39.6
0600000US7202577371	San Salvador barrio, Caguas Municipio, Puerto Rico	0.6	38.3
0600000US7202582918	Tomás de Castro barrio, Caguas Municipio, Puerto Rico	0	28.7
0600000US7202583950	Turabo barrio, Caguas Municipio, Puerto Rico	0.8	41.8
0600000US7202700000	Municipio subdivision not defined, Camuy Municipio, Puerto Rico	1.2	-
0600000US7202700100	Abra Honda barrio, Camuy Municipio, Puerto Rico	-	51.4
0600000US7202711968	Camuy barrio-pueblo, Camuy Municipio, Puerto Rico	0	48.8
0600000US7202712011	Camuy Arriba barrio, Camuy Municipio, Puerto Rico	0.5	48.1
0600000US7202717859	Cibao barrio, Camuy Municipio, Puerto Rico	5	47.7
0600000US7202718375	Ciénagas barrio, Camuy Municipio, Puerto Rico	0.1	51.3
0600000US7202752990	Membrillo barrio, Camuy Municipio, Puerto Rico	0	43
0600000US7202761633	Piedra Gorda barrio, Camuy Municipio, Puerto Rico	0.4	55.2
0600000US7202765116	Puente barrio, Camuy Municipio, Puerto Rico	3.9	37.4
0600000US7202765847	Puertos barrio, Camuy Municipio, Puerto Rico	0.8	80.4
0600000US7202766707	Quebrada barrio, Camuy Municipio, Puerto Rico	0	44.6
0600000US7202779349	Santiago barrio, Camuy Municipio, Puerto Rico	0.2	83.6
0600000US7202788336	Yeguada barrio, Camuy Municipio, Puerto Rico	0	43.7
0600000US7202788508	Zanja barrio, Camuy Municipio, Puerto Rico	4.1	42.9
0600000US7202912850	Canóvanas barrio, Canóvanas Municipio, Puerto Rico	0	37.6
0600000US7202912871	Canóvanas barrio-pueblo, Canóvanas Municipio, Puerto Rico	4.6	28.6
0600000US7202922202	Cubuy barrio, Canóvanas Municipio, Puerto Rico	2.5	46.7
0600000US7202933812	Hato Puerco barrio, Canóvanas Municipio, Puerto Rico	0.4	35.8
0600000US7202946669	Lomas barrio, Canóvanas Municipio, Puerto Rico	1.3	42.3
0600000US7202983047	Torrecilla Alta barrio, Canóvanas Municipio, Puerto Rico	1.1	45.2
0600000US7203100000	Municipio subdivision not defined, Carolina Municipio, Puerto Rico	1	-
0600000US7203105819	Barrazas barrio, Carolina Municipio, Puerto Rico	-	38.2
0600000US7203109150	Buena Vista barrio, Carolina Municipio, Puerto Rico	2.2	29.4
0600000US7203109947	Cacao barrio, Carolina Municipio, Puerto Rico	5.4	30.4
0600000US7203112699	Cangrejo Arriba barrio, Carolina Municipio, Puerto Rico	2.9	15
0600000US7203113086	Canovanillas barrio, Carolina Municipio, Puerto Rico	17.5	20.8
0600000US7203114333	Carolina barrio-pueblo, Carolina Municipio, Puerto Rico	2	39.4
0600000US7203114763	Carruzos barrio, Carolina Municipio, Puerto Rico	0.8	36.6
0600000US7203115709	Cedro barrio, Carolina Municipio, Puerto Rico	0	31.9
0600000US7203151571	Martín González barrio, Carolina Municipio, Puerto Rico	0	26.6
0600000US7203173286	Sabana Abajo barrio, Carolina Municipio, Puerto Rico	5.1	28.8
0600000US7203175479	San Antón barrio, Carolina Municipio, Puerto Rico	7.9	34.7
0600000US7203177973	Santa Cruz barrio, Carolina Municipio, Puerto Rico	4.3	36.6
0600000US7203183735	Trujillo Bajo barrio, Carolina Municipio, Puerto Rico	1.3	20.6
0600000US7203315236	Cataño barrio-pueblo, Cataño Municipio, Puerto Rico	1.5	41.1
